Date,Open,High,Low,Price,Volume,Change %
5/27/2024,"68,514.60","69,283.60","68,480.40","68,860.20",27.14,0.50%
5/26/2024,"69,287.20","69,494.00","68,294.50","68,514.80",24.58,-1.11%
5/25/2024,"68,548.20","69,558.80","68,516.10","69,284.40",25.17,1.07%
5/24/2024,"67,971.10","69,212.00","66,685.80","68,547.60",63.28,0.84%
5/23/2024,"69,166.30","70,041.00","66,578.10","67,975.70",89.45,-1.71%
5/22/2024,"70,141.00","70,593.40","69,024.30","69,155.40",65.08,-1.40%
5/21/2024,"71,430.50","71,872.00","69,181.70","70,139.90",108.56,-1.80%
5/20/2024,"66,278.30","71,482.80","66,076.50","71,422.70",112.66,7.76%
5/19/2024,"66,919.00","67,662.50","65,937.30","66,279.10",36.19,-0.95%
5/18/2024,"67,036.60","67,361.40","66,636.10","66,917.50",29.68,-0.18%
5/17/2024,"65,231.10","67,420.70","65,121.70","67,036.80",63.09,2.77%
5/16/2024,"66,219.60","66,643.90","64,623.30","65,231.00",72.55,-1.50%
5/15/2024,"61,569.40","66,417.10","61,357.50","66,225.10",106.05,7.56%
5/14/2024,"62,936.80","63,102.60","61,156.90","61,569.40",68.84,-2.17%
5/13/2024,"61,480.50","63,443.20","60,779.00","62,937.20",70.55,2.37%
5/12/2024,"60,826.60","61,847.70","60,647.10","61,480.00",27.40,1.07%
5/11/2024,"60,796.80","61,487.50","60,499.30","60,826.60",27.50,0.05%
5/10/2024,"63,074.30","63,454.30","60,251.80","60,796.90",79.33,-3.61%
5/9/2024,"61,207.30","63,413.30","60,671.40","63,075.00",64.22,3.05%
5/8/2024,"62,304.90","62,997.40","60,894.20","61,207.50",56.47,-1.78%
5/7/2024,"63,163.10","64,361.00","62,294.10","62,317.70",59.74,-1.34%
5/6/2024,"64,005.80","65,448.80","62,730.70","63,163.10",77.68,-1.32%
5/5/2024,"63,897.70","64,587.20","62,923.90","64,006.40",40.51,0.18%
5/4/2024,"62,887.10","64,466.00","62,599.10","63,888.30",53.03,1.61%
5/3/2024,"59,104.30","63,298.40","58,830.80","62,877.50",100.46,6.35%
5/2/2024,"58,334.90","59,548.00","56,989.80","59,121.30",98.06,1.35%
5/1/2024,"60,665.00","60,827.50","56,643.50","58,331.20",171.55,-3.85%
4/30/2024,"63,852.40","64,700.20","59,228.70","60,666.60",121.04,-5.00%
4/29/2024,"63,113.70","64,193.10","61,837.20","63,860.10",67.26,1.19%
4/28/2024,"63,457.90","64,346.10","62,827.80","63,109.70",36.65,-0.55%
4/27/2024,"63,765.80","63,916.70","62,507.70","63,456.80",45.34,-0.49%
4/26/2024,"64,497.10","64,771.30","63,354.90","63,766.40",61.60,-1.13%
4/25/2024,"64,287.10","65,247.50","62,889.20","64,497.10",80.77,0.33%
4/24/2024,"66,414.90","67,060.50","63,606.90","64,285.70",77.83,-3.21%
4/23/2024,"66,829.50","67,180.00","65,848.30","66,415.00",52.42,-0.62%
4/22/2024,"64,940.10","67,208.00","64,527.50","66,829.30",72.30,2.91%
4/21/2024,"64,942.10","65,680.60","64,267.50","64,940.20",42.02,-0.03%
4/20/2024,"63,817.60","65,375.60","63,131.70","64,961.10",49.33,1.82%
4/19/2024,"63,480.50","65,441.20","59,693.30","63,799.10",150.34,0.50%
4/18/2024,"61,278.90","64,092.40","60,822.30","63,481.40",97.38,3.59%
4/17/2024,"63,802.30","64,451.50","59,820.80","61,278.90",118.92,-3.96%
4/16/2024,"63,416.10","64,274.40","61,715.60","63,805.30",114.96,0.62%
4/15/2024,"65,696.60","66,805.10","62,379.50","63,411.90",118.79,-3.48%
4/14/2024,"63,909.50","65,758.20","62,174.70","65,697.40",134.40,2.89%
4/13/2024,"67,137.40","67,921.00","61,065.50","63,849.90",149.48,-4.92%
4/12/2024,"70,014.90","71,226.90","65,829.30","67,151.90",131.84,-4.08%
4/11/2024,"70,620.40","71,249.20","69,586.10","70,011.60",72.51,-0.86%
4/10/2024,"69,147.80","71,086.90","67,570.00","70,622.10",97.71,2.13%
4/9/2024,"71,627.30","71,737.20","68,264.60","69,148.00",93.69,-3.47%
4/8/2024,"69,358.00","72,710.80","69,110.50","71,630.10",105.78,3.27%
4/7/2024,"68,897.30","70,285.80","68,849.40","69,360.40",46.99,0.68%
4/6/2024,"67,830.50","69,632.00","67,467.20","68,890.60",41.48,1.56%
4/5/2024,"68,498.70","68,692.20","66,023.30","67,830.60",88.97,-0.97%
4/4/2024,"65,968.40","69,238.80","65,096.30","68,496.50",100.30,3.84%
4/3/2024,"65,443.60","66,844.80","64,559.00","65,963.00",88.46,0.80%
4/2/2024,"69,662.70","69,673.00","64,628.40","65,439.20",152.87,-6.07%
4/1/2024,"71,329.30","71,329.30","68,175.90","69,664.40",94.05,-2.34%
3/31/2024,"69,608.50","71,367.50","69,576.60","71,332.00",42.45,2.47%
3/30/2024,"69,872.30","70,321.20","69,564.90","69,611.50",29.87,-0.37%
3/29/2024,"70,766.70","70,907.00","69,090.90","69,871.70",58.99,-1.26%
3/28/2024,"69,449.40","71,542.50","68,956.90","70,762.10",72.49,1.90%
3/27/2024,"69,999.20","71,670.80","68,428.60","69,442.40",112.88,-0.80%
3/26/2024,"69,896.30","71,490.70","69,366.40","69,999.30",90.98,0.15%
3/25/2024,"67,216.40","71,118.80","66,395.00","69,892.00",124.72,3.99%
3/24/2024,"64,036.50","67,587.80","63,812.90","67,211.90",65.59,4.96%
3/23/2024,"63,785.60","65,972.40","63,074.90","64,037.80",35.11,0.40%
3/22/2024,"65,501.50","66,633.30","62,328.30","63,785.50",72.43,-2.62%
3/21/2024,"67,860.00","68,161.70","64,616.10","65,503.80",75.26,-3.46%
3/20/2024,"62,046.80","68,029.50","60,850.90","67,854.00",133.53,9.35%
3/19/2024,"67,594.10","68,099.60","61,560.60","62,050.00",148.08,-8.20%
3/18/2024,"68,389.70","68,920.10","66,601.40","67,594.10",78.07,-1.17%
3/17/2024,"65,314.20","68,857.70","64,605.50","68,391.20",66.07,4.71%
3/16/2024,"69,456.50","70,037.00","64,971.00","65,314.20",75.82,-5.97%
3/15/2024,"71,387.10","72,398.10","65,765.60","69,463.70",148.59,-2.69%
3/14/2024,"73,066.70","73,740.90","68,717.20","71,387.50",109.43,-2.30%
3/13/2024,"71,461.90","73,623.50","71,338.40","73,066.30",77.18,2.23%
3/12/2024,"72,099.10","72,916.70","68,845.60","71,470.20",105.09,-0.87%
3/11/2024,"68,964.70","72,771.50","67,452.80","72,099.10",114.72,4.54%
3/10/2024,"68,360.70","69,905.30","68,165.00","68,964.80",53.49,0.88%
3/9/2024,"68,178.50","68,576.90","67,923.90","68,366.50",30.71,0.29%
3/8/2024,"66,854.40","69,904.00","66,170.70","68,172.00",112.67,1.97%
3/7/2024,"66,074.60","67,985.50","65,602.60","66,855.30",77.47,1.17%
3/6/2024,"63,794.70","67,604.90","62,848.70","66,080.40",117.91,3.59%
3/5/2024,"68,273.10","69,063.10","60,138.20","63,792.60",207.60,-6.56%
3/4/2024,"63,135.80","68,495.10","62,746.80","68,270.10",130.86,8.13%
3/3/2024,"61,955.60","63,227.30","61,399.40","63,135.80",38.01,1.84%
3/2/2024,"62,397.70","62,446.30","61,621.90","61,994.50",33.80,-0.65%
3/1/2024,"61,157.30","63,147.30","60,790.90","62,397.70",74.96,2.01%
2/29/2024,"62,467.10","63,653.40","60,512.50","61,169.30",119.29,-2.08%
2/28/2024,"57,048.70","63,915.30","56,704.90","62,467.60",173.64,9.48%
2/27/2024,"54,491.10","57,555.20","54,464.00","57,056.20",100.48,4.70%
2/26/2024,"51,722.70","54,899.10","50,925.20","54,495.10",78.05,5.36%
2/25/2024,"51,572.10","51,952.00","51,299.00","51,722.70",23.61,0.29%
2/24/2024,"50,739.60","51,689.90","50,592.00","51,571.60",20.99,1.64%
