Date,Open,High,Low,Price,Volume,Change %
5/27/2024,68514.6,69283.6,68480.4,68860.2,27.14K,0.50%
5/26/2024,69287.2,69494,68294.5,68514.8,24.58K,-1.11%
5/25/2024,68548.2,69558.8,68516.1,69284.4,25.17K,1.07%
5/24/2024,67971.1,69212,66685.8,68547.6,63.28K,0.84%
5/23/2024,69166.3,70041,66578.1,67975.7,89.45K,-1.71%
5/22/2024,70141,70593.4,69024.3,69155.4,65.08K,-1.40%
5/21/2024,71430.5,71872,69181.7,70139.9,108.56K,-1.80%
5/20/2024,66278.3,71482.8,66076.5,71422.7,112.66K,7.76%
5/19/2024,66919,67662.5,65937.3,66279.1,36.19K,-0.95%
5/18/2024,67036.6,67361.4,66636.1,66917.5,29.68K,-0.18%
5/17/2024,65231.1,67420.7,65121.7,67036.8,63.09K,2.77%
5/16/2024,66219.6,66643.9,64623.3,65231,72.55K,-1.50%
5/15/2024,61569.4,66417.1,61357.5,66225.1,106.05K,7.56%
5/14/2024,62936.8,63102.6,61156.9,61569.4,68.84K,-2.17%
5/13/2024,61480.5,63443.2,60779,62937.2,70.55K,2.37%
5/12/2024,60826.6,61847.7,60647.1,61480,27.40K,1.07%
5/11/2024,60796.8,61487.5,60499.3,60826.6,27.50K,0.05%
5/10/2024,63074.3,63454.3,60251.8,60796.9,79.33K,-3.61%
5/9/2024,61207.3,63413.3,60671.4,63075,64.22K,3.05%
5/8/2024,62304.9,62997.4,60894.2,61207.5,56.47K,-1.78%
5/7/2024,63163.1,64361,62294.1,62317.7,59.74K,-1.34%
5/6/2024,64005.8,65448.8,62730.7,63163.1,77.68K,-1.32%
5/5/2024,63897.7,64587.2,62923.9,64006.4,40.51K,0.18%
5/4/2024,62887.1,64466,62599.1,63888.3,53.03K,1.61%
5/3/2024,59104.3,63298.4,58830.8,62877.5,100.46K,6.35%
5/2/2024,58334.9,59548,56989.8,59121.3,98.06K,1.35%
5/1/2024,60665,60827.5,56643.5,58331.2,171.55K,-3.85%
4/30/2024,63852.4,64700.2,59228.7,60666.6,121.04K,-5.00%
4/29/2024,63113.7,64193.1,61837.2,63860.1,67.26K,1.19%
4/28/2024,63457.9,64346.1,62827.8,63109.7,36.65K,-0.55%
4/27/2024,63765.8,63916.7,62507.7,63456.8,45.34K,-0.49%
4/26/2024,64497.1,64771.3,63354.9,63766.4,61.60K,-1.13%
4/25/2024,64287.1,65247.5,62889.2,64497.1,80.77K,0.33%
4/24/2024,66414.9,67060.5,63606.9,64285.7,77.83K,-3.21%
4/23/2024,66829.5,67180,65848.3,66415,52.42K,-0.62%
4/22/2024,64940.1,67208,64527.5,66829.3,72.30K,2.91%
4/21/2024,64942.1,65680.6,64267.5,64940.2,42.02K,-0.03%
4/20/2024,63817.6,65375.6,63131.7,64961.1,49.33K,1.82%
4/19/2024,63480.5,65441.2,59693.3,63799.1,150.34K,0.50%
4/18/2024,61278.9,64092.4,60822.3,63481.4,97.38K,3.59%
4/17/2024,63802.3,64451.5,59820.8,61278.9,118.92K,-3.96%
4/16/2024,63416.1,64274.4,61715.6,63805.3,114.96K,0.62%
4/15/2024,65696.6,66805.1,62379.5,63411.9,118.79K,-3.48%
4/14/2024,63909.5,65758.2,62174.7,65697.4,134.40K,2.89%
4/13/2024,67137.4,67921,61065.5,63849.9,149.48K,-4.92%
4/12/2024,70014.9,71226.9,65829.3,67151.9,131.84K,-4.08%
4/11/2024,70620.4,71249.2,69586.1,70011.6,72.51K,-0.86%
4/10/2024,69147.8,71086.9,67570,70622.1,97.71K,2.13%
4/9/2024,71627.3,71737.2,68264.6,69148,93.69K,-3.47%
4/8/2024,69358,72710.8,69110.5,71630.1,105.78K,3.27%
4/7/2024,68897.3,70285.8,68849.4,69360.4,46.99K,0.68%
4/6/2024,67830.5,69632,67467.2,68890.6,41.48K,1.56%
4/5/2024,68498.7,68692.2,66023.3,67830.6,88.97K,-0.97%
4/4/2024,65968.4,69238.8,65096.3,68496.5,100.30K,3.84%
4/3/2024,65443.6,66844.8,64559,65963,88.46K,0.80%
4/2/2024,69662.7,69673,64628.4,65439.2,152.87K,-6.07%
4/1/2024,71329.3,71329.3,68175.9,69664.4,94.05K,-2.34%
3/31/2024,69608.5,71367.5,69576.6,71332,42.45K,2.47%
3/30/2024,69872.3,70321.2,69564.9,69611.5,29.87K,-0.37%
3/29/2024,70766.7,70907,69090.9,69871.7,58.99K,-1.26%
3/28/2024,69449.4,71542.5,68956.9,70762.1,72.49K,1.90%
3/27/2024,69999.2,71670.8,68428.6,69442.4,112.88K,-0.80%
3/26/2024,69896.3,71490.7,69366.4,69999.3,90.98K,0.15%
3/25/2024,67216.4,71118.8,66395,69892,124.72K,3.99%
3/24/2024,64036.5,67587.8,63812.9,67211.9,65.59K,4.96%
3/23/2024,63785.6,65972.4,63074.9,64037.8,35.11K,0.40%
3/22/2024,65501.5,66633.3,62328.3,63785.5,72.43K,-2.62%
3/21/2024,67860,68161.7,64616.1,65503.8,75.26K,-3.46%
3/20/2024,62046.8,68029.5,60850.9,67854,133.53K,9.35%
3/19/2024,67594.1,68099.6,61560.6,62050,148.08K,-8.20%
3/18/2024,68389.7,68920.1,66601.4,67594.1,78.07K,-1.17%
3/17/2024,65314.2,68857.7,64605.5,68391.2,66.07K,4.71%
3/16/2024,69456.5,70037,64971,65314.2,75.82K,-5.97%
3/15/2024,71387.1,72398.1,65765.6,69463.7,148.59K,-2.69%
3/14/2024,73066.7,73740.9,68717.2,71387.5,109.43K,-2.30%
